dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
heart_failure,topsis,ddp + deo,10,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,11,post,"[0.7950969934463501, 0.7969123125076294]",0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,11,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,12,post,"[0.7799139618873596, 0.6875351667404175]",0.8571428571428571,0.7777777777777778,0.8235294117647058,0.8,0.053418803418803396,0.0357142857142857
heart_failure,topsis,ddp + deo,12,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,13,post,"[0.2557526230812073, 0.8554776906967163]",0.7346938775510204,0.3333333333333333,0.8571428571428571,0.48,0.01495726495726496,0.2142857142857143
heart_failure,topsis,ddp + deo,13,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,14,post,"[0.8206081986427307, 0.028481654822826385]",0.6326530612244898,1.0,0.5,0.6666666666666666,0.05769230769230771,0.0
heart_failure,topsis,ddp + deo,14,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,15,post,"[0.40282806754112244, 0.3558085858821869]",0.8571428571428571,0.7777777777777778,0.8235294117647058,0.8,0.053418803418803396,0.0357142857142857
heart_failure,topsis,ddp + deo,15,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,16,post,"[0.6776740550994873, 0.030627848580479622]",0.6530612244897959,1.0,0.5142857142857142,0.6792452830188679,0.02991452991452992,0.0
heart_failure,topsis,ddp + deo,16,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,17,post,"[0.9502924680709839, 0.7206509709358215]",0.8571428571428571,0.7777777777777778,0.8235294117647058,0.8,0.053418803418803396,0.0357142857142857
heart_failure,topsis,ddp + deo,17,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,18,post,"[0.5256003141403198, 0.8838217258453369]",0.8163265306122449,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.008547008547008572,0.25
heart_failure,topsis,ddp + deo,18,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp + deo,19,post,"[0.48838168382644653, 0.8208274245262146]",0.8163265306122449,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.008547008547008572,0.25
heart_failure,topsis,ddp + deo,19,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,0,post,"[0.7809363007545471, 0.9892310500144958]",0.8367346938775511,0.6666666666666666,0.8571428571428571,0.75,0.0747863247863248,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,0,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,1,post,"[0.7642150521278381, 0.8335955739021301]",0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,1,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,2,post,"[0.246300607919693, 0.5072644352912903]",0.7755102040816326,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.04059829059829059,0.07142857142857145
heart_failure,topsis,ddp_kl + deo_kl,2,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,3,post,"[0.24506133794784546, 0.15984487533569336]",0.8367346938775511,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.08119658119658119,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,3,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,4,post,"[0.17459198832511902, 0.1022954061627388]",0.8163265306122449,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.10897435897435898,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,4,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,5,post,"[0.7920098900794983, 0.9484092593193054]",0.8367346938775511,0.6666666666666666,0.8571428571428571,0.75,0.0747863247863248,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,5,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,6,post,"[0.9180511832237244, 0.20429196953773499]",0.7755102040816326,0.8888888888888888,0.64,0.7441860465116279,0.06623931623931623,0.1428571428571429
heart_failure,topsis,ddp_kl + deo_kl,6,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,7,post,"[0.4478834271430969, 0.1998174786567688]",0.7959183673469388,0.7777777777777778,0.7,0.7368421052631579,0.1367521367521367,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,7,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,8,post,"[0.03096671588718891, 0.4376276135444641]",0.6326530612244898,0.0,0.0,0.0,0.0,0.0
heart_failure,topsis,ddp_kl + deo_kl,8,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,9,post,"[0.8604203462600708, 0.03026326186954975]",0.6326530612244898,1.0,0.5,0.6666666666666666,0.05769230769230771,0.0
heart_failure,topsis,ddp_kl + deo_kl,9,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,10,post,"[0.06453211605548859, 0.321041464805603]",0.7346938775510204,0.2777777777777778,1.0,0.43478260869565216,0.07051282051282053,0.2857142857142857
heart_failure,topsis,ddp_kl + deo_kl,10,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,11,post,"[0.16316814720630646, 0.9241624474525452]",0.7142857142857143,0.2222222222222222,1.0,0.36363636363636365,0.006410256410256401,0.035714285714285726
heart_failure,topsis,ddp_kl + deo_kl,11,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,12,post,"[0.6003720760345459, 0.2959607243537903]",0.8163265306122449,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.10897435897435898,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,12,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,13,post,"[0.7717641592025757, 0.5210603475570679]",0.8571428571428571,0.7777777777777778,0.8235294117647058,0.8,0.053418803418803396,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,13,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,14,post,"[0.45158588886260986, 0.23662659525871277]",0.8163265306122449,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.10897435897435898,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,14,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,15,post,"[0.9750838279724121, 0.034175805747509]",0.6326530612244898,1.0,0.5,0.6666666666666666,0.05769230769230771,0.0
heart_failure,topsis,ddp_kl + deo_kl,15,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,16,post,"[0.6949390769004822, 0.45256125926971436]",0.8367346938775511,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.08119658119658119,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,16,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,17,post,"[0.16874070465564728, 0.6779663562774658]",0.7346938775510204,0.2777777777777778,1.0,0.43478260869565216,0.07051282051282053,0.2857142857142857
heart_failure,topsis,ddp_kl + deo_kl,17,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,18,post,"[0.15966667234897614, 0.7465161681175232]",0.7346938775510204,0.2777777777777778,1.0,0.43478260869565216,0.07051282051282053,0.2857142857142857
heart_failure,topsis,ddp_kl + deo_kl,18,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,topsis,ddp_kl + deo_kl,19,post,"[0.83982914686203, 0.3095442056655884]",0.7959183673469388,0.7777777777777778,0.7,0.7368421052631579,0.1367521367521367,0.0357142857142857
heart_failure,topsis,ddp_kl + deo_kl,19,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,0,post,"[0.25192004442214966, 0.7944586277008057]",0.7551020408163265,0.3888888888888889,0.875,0.5384615384615384,0.012820512820512803,0.14285714285714285
heart_failure,zenith,ddp,0,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,1,post,"[0.4148440361022949, 0.07091540843248367]",0.7755102040816326,0.9444444444444444,0.6296296296296297,0.7555555555555555,0.017094017094017144,0.0714285714285714
heart_failure,zenith,ddp,1,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,2,post,"[1.0892165899276733, 0.1868015080690384]",0.7755102040816326,0.9444444444444444,0.6296296296296297,0.7555555555555555,0.017094017094017144,0.0714285714285714
heart_failure,zenith,ddp,2,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,3,post,"[0.33844995498657227, 0.8884173035621643]",0.7551020408163265,0.3888888888888889,0.875,0.5384615384615384,0.012820512820512803,0.14285714285714285
heart_failure,zenith,ddp,3,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,4,post,"[0.10151205956935883, 0.1717187911272049]",0.8163265306122449,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.008547008547008572,0.25
heart_failure,zenith,ddp,4,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,5,post,"[0.9335558414459229, 0.0009682693053036928]",0.3673469387755102,1.0,0.3673469387755102,0.5373134328358209,0.0,0.0
heart_failure,zenith,ddp,5,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,6,post,"[0.8240655660629272, 0.005392205435782671]",0.42857142857142855,1.0,0.391304347826087,0.5625,0.08333333333333337,0.0
heart_failure,zenith,ddp,6,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,7,post,"[0.21219435334205627, 0.557105541229248]",0.7551020408163265,0.3888888888888889,0.875,0.5384615384615384,0.012820512820512803,0.14285714285714285
heart_failure,zenith,ddp,7,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,8,post,"[0.7291133403778076, 0.12458892911672592]",0.7755102040816326,0.9444444444444444,0.6296296296296297,0.7555555555555555,0.017094017094017144,0.0714285714285714
heart_failure,zenith,ddp,8,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,9,post,"[0.44102102518081665, 0.7914240956306458]",0.8163265306122449,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.008547008547008572,0.25
heart_failure,zenith,ddp,9,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,10,post,"[0.9181557297706604, 0.811072587966919]",0.8571428571428571,0.7777777777777778,0.8235294117647058,0.8,0.053418803418803396,0.0357142857142857
heart_failure,zenith,ddp,10,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,11,post,"[0.25307077169418335, 0.9113584160804749]",0.7346938775510204,0.3333333333333333,0.8571428571428571,0.48,0.01495726495726496,0.2142857142857143
heart_failure,zenith,ddp,11,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
heart_failure,zenith,ddp,12,post,"[0.1716509461402893, 0.617986261844635]",0.7346938775510204,0.3333333333333333,0.8571428571428571,0.48,0.01495726495726496,0.2142857142857143
heart_failure,zenith,ddp,12,baseline,,0.8163265306122449,0.6666666666666666,0.8,0.7272727272727273,0.002136752136752129,0.1071428571428571
