dataset,selector,objective,acc_baseline,acc_post,rec_baseline,rec_post,prec_baseline,prec_post,f1_baseline,f1_post,ddp_baseline,ddp_post,deo_baseline,deo_post
compas,topsis,ddp,0.6706 ± 0.0000,0.5494 ± 0.0846,0.5390 ± 0.0000,0.7308 ± 0.3206,0.6776 ± 0.0000,0.5787 ± 0.1370,0.6004 ± 0.0000,0.5690 ± 0.1050,0.1741 ± 0.0000,0.0642 ± 0.0626,0.1527 ± 0.0000,0.0703 ± 0.0651
compas,topsis,ddp + deo,0.6706 ± 0.0000,0.5590 ± 0.0853,0.5390 ± 0.0000,0.7405 ± 0.3017,0.6776 ± 0.0000,0.5782 ± 0.1296,0.6004 ± 0.0000,0.5816 ± 0.1013,0.1741 ± 0.0000,0.0722 ± 0.0643,0.1527 ± 0.0000,0.0702 ± 0.0594
compas,topsis,ddp_kl,0.6706 ± 0.0000,0.6128 ± 0.0711,0.5390 ± 0.0000,0.6429 ± 0.3042,0.6776 ± 0.0000,0.6420 ± 0.1385,0.6004 ± 0.0000,0.5581 ± 0.2049,0.1741 ± 0.0000,0.1051 ± 0.0640,0.1527 ± 0.0000,0.0883 ± 0.0465
compas,topsis,ddp_kl + deo_kl,0.6706 ± 0.0000,0.6210 ± 0.0619,0.5390 ± 0.0000,0.5843 ± 0.2827,0.6776 ± 0.0000,0.6553 ± 0.1146,0.6004 ± 0.0000,0.5494 ± 0.1626,0.1741 ± 0.0000,0.1176 ± 0.0572,0.1527 ± 0.0000,0.1053 ± 0.0454
compas,topsis,deo,0.6706 ± 0.0000,0.5564 ± 0.0824,0.5390 ± 0.0000,0.6470 ± 0.3588,0.6776 ± 0.0000,0.6128 ± 0.1514,0.6004 ± 0.0000,0.5270 ± 0.1411,0.1741 ± 0.0000,0.0636 ± 0.0582,0.1527 ± 0.0000,0.0731 ± 0.0622
compas,topsis,deo_kl,0.6706 ± 0.0000,0.5862 ± 0.0882,0.5390 ± 0.0000,0.6091 ± 0.3193,0.6776 ± 0.0000,0.6385 ± 0.1429,0.6004 ± 0.0000,0.5384 ± 0.1449,0.1741 ± 0.0000,0.0893 ± 0.0705,0.1527 ± 0.0000,0.0945 ± 0.0662
compas,zenith,ddp,0.6706 ± 0.0000,0.5920 ± 0.0733,0.5390 ± 0.0000,0.6680 ± 0.3009,0.6776 ± 0.0000,0.6148 ± 0.1261,0.6004 ± 0.0000,0.5696 ± 0.1211,0.1741 ± 0.0000,0.0966 ± 0.0571,0.1527 ± 0.0000,0.0961 ± 0.0503
compas,zenith,ddp + deo,0.6706 ± 0.0000,0.6090 ± 0.0618,0.5390 ± 0.0000,0.6391 ± 0.2868,0.6776 ± 0.0000,0.6287 ± 0.1150,0.6004 ± 0.0000,0.5699 ± 0.1209,0.1741 ± 0.0000,0.1128 ± 0.0490,0.1527 ± 0.0000,0.1078 ± 0.0442
compas,zenith,ddp_kl,0.6706 ± 0.0000,0.6287 ± 0.0537,0.5390 ± 0.0000,0.5458 ± 0.2737,0.6776 ± 0.0000,0.6708 ± 0.1051,0.6004 ± 0.0000,0.5389 ± 0.1496,0.1741 ± 0.0000,0.1245 ± 0.0478,0.1527 ± 0.0000,0.1162 ± 0.0395
compas,zenith,ddp_kl + deo_kl,0.6706 ± 0.0000,0.6204 ± 0.0612,0.5390 ± 0.0000,0.5414 ± 0.2811,0.6776 ± 0.0000,0.6679 ± 0.1108,0.6004 ± 0.0000,0.5322 ± 0.1402,0.1741 ± 0.0000,0.1211 ± 0.0540,0.1527 ± 0.0000,0.1206 ± 0.0502
compas,zenith,deo,0.6706 ± 0.0000,0.5980 ± 0.0493,0.5390 ± 0.0000,0.6447 ± 0.3139,0.6776 ± 0.0000,0.5780 ± 0.1752,0.6004 ± 0.0000,0.5513 ± 0.1741,0.1741 ± 0.0000,0.1032 ± 0.0454,0.1527 ± 0.0000,0.1019 ± 0.0361
compas,zenith,deo_kl,0.6706 ± 0.0000,0.6426 ± 0.0482,0.5390 ± 0.0000,0.5668 ± 0.2111,0.6776 ± 0.0000,0.6655 ± 0.0873,0.6004 ± 0.0000,0.5766 ± 0.0854,0.1741 ± 0.0000,0.1430 ± 0.0421,0.1527 ± 0.0000,0.1332 ± 0.0386
dutch,topsis,ddp,0.8096 ± 0.0000,0.7097 ± 0.1019,0.7603 ± 0.0000,0.5828 ± 0.3306,0.8265 ± 0.0000,0.8349 ± 0.1299,0.7920 ± 0.0000,0.5961 ± 0.2613,0.1762 ± 0.0000,0.1244 ± 0.0701,0.0588 ± 0.0000,0.0194 ± 0.0257
dutch,topsis,ddp + deo,0.8096 ± 0.0000,0.7370 ± 0.0884,0.7603 ± 0.0000,0.6879 ± 0.2418,0.8265 ± 0.0000,0.8083 ± 0.1373,0.7920 ± 0.0000,0.6913 ± 0.1781,0.1762 ± 0.0000,0.1356 ± 0.0572,0.0588 ± 0.0000,0.0281 ± 0.0288
