dataset,selector,objective,solution_type,acc,rec,prec,f1,ddp,deo
dutch,topsis,ddp_kl + deo_kl,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,topsis,ddp_kl + deo_kl,post,0.7716 ± 0.0597,0.7419 ± 0.1927,0.8004 ± 0.0945,0.7401 ± 0.1428,0.1614 ± 0.0388,0.0343 ± 0.0288
dutch,topsis,deo,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,topsis,deo,post,0.7542 ± 0.0738,0.7531 ± 0.1709,0.7859 ± 0.1275,0.7413 ± 0.0740,0.1469 ± 0.0472,0.0320 ± 0.0293
dutch,topsis,deo_kl,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,topsis,deo_kl,post,0.7736 ± 0.0353,0.7033 ± 0.1663,0.8267 ± 0.0909,0.7382 ± 0.0800,0.1624 ± 0.0241,0.0307 ± 0.0281
dutch,zenith,ddp,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,zenith,ddp,post,0.8082 ± 0.0015,0.7152 ± 0.0119,0.8590 ± 0.0072,0.7804 ± 0.0042,0.1544 ± 0.0032,0.0813 ± 0.0013
dutch,zenith,ddp + deo,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,zenith,ddp + deo,post,0.7863 ± 0.0670,0.7388 ± 0.0840,0.8290 ± 0.0986,0.7710 ± 0.0260,0.1428 ± 0.0352,0.0732 ± 0.0242
dutch,zenith,ddp_kl,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,zenith,ddp_kl,post,0.8080 ± 0.0016,0.7148 ± 0.0133,0.8589 ± 0.0080,0.7801 ± 0.0046,0.1548 ± 0.0038,0.0806 ± 0.0018
dutch,zenith,ddp_kl + deo_kl,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,zenith,ddp_kl + deo_kl,post,0.8081 ± 0.0016,0.7159 ± 0.0132,0.8584 ± 0.0080,0.7805 ± 0.0046,0.1550 ± 0.0038,0.0806 ± 0.0018
dutch,zenith,deo,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,zenith,deo,post,0.8079 ± 0.0016,0.7138 ± 0.0126,0.8598 ± 0.0075,0.7799 ± 0.0044,0.1542 ± 0.0034,0.0811 ± 0.0014
dutch,zenith,deo_kl,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,zenith,deo_kl,post,0.8081 ± 0.0016,0.7155 ± 0.0126,0.8586 ± 0.0076,0.7804 ± 0.0045,0.1548 ± 0.0035,0.0808 ± 0.0016
heart_failure,topsis,ddp,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,topsis,ddp,post,0.7837 ± 0.1196,0.7167 ± 0.2673,0.6720 ± 0.2582,0.6787 ± 0.2426,0.0504 ± 0.0347,0.0536 ± 0.0585
heart_failure,topsis,ddp + deo,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,topsis,ddp + deo,post,0.6959 ± 0.1667,0.7583 ± 0.3018,0.6338 ± 0.2435,0.6261 ± 0.2126,0.0442 ± 0.0392,0.0661 ± 0.0726
heart_failure,topsis,ddp_kl,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,topsis,ddp_kl,post,0.7500 ± 0.1755,0.7583 ± 0.2486,0.6904 ± 0.2380,0.6840 ± 0.2117,0.0489 ± 0.0354,0.0411 ± 0.0453
heart_failure,topsis,ddp_kl + deo_kl,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,topsis,ddp_kl + deo_kl,post,0.7490 ± 0.1024,0.7028 ± 0.3492,0.5935 ± 0.2894,0.6126 ± 0.2881,0.0366 ± 0.0253,0.0714 ± 0.0742
heart_failure,topsis,deo,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,topsis,deo,post,0.7490 ± 0.1175,0.5417 ± 0.2922,0.8384 ± 0.1644,0.5788 ± 0.2022,0.0506 ± 0.0326,0.1107 ± 0.0897
heart_failure,topsis,deo_kl,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,topsis,deo_kl,post,0.7102 ± 0.1435,0.7083 ± 0.3462,0.6119 ± 0.2705,0.5956 ± 0.2600,0.0483 ± 0.0449,0.0589 ± 0.0594
heart_failure,zenith,ddp,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,zenith,ddp,post,0.7898 ± 0.0646,0.7306 ± 0.2723,0.6541 ± 0.2399,0.6792 ± 0.2368,0.0455 ± 0.0355,0.0732 ± 0.0680
heart_failure,zenith,ddp + deo,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,zenith,ddp + deo,post,0.7398 ± 0.1355,0.7583 ± 0.2473,0.7005 ± 0.1626,0.6726 ± 0.1436,0.0396 ± 0.0303,0.1089 ± 0.0847
heart_failure,zenith,ddp_kl,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,zenith,ddp_kl,post,0.8061 ± 0.1097,0.8250 ± 0.0791,0.7413 ± 0.1212,0.7683 ± 0.0596,0.0497 ± 0.0284,0.0500 ± 0.0424
heart_failure,zenith,ddp_kl + deo_kl,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,zenith,ddp_kl + deo_kl,post,0.7735 ± 0.1123,0.8000 ± 0.2026,0.6589 ± 0.1943,0.7112 ± 0.1775,0.0429 ± 0.0329,0.0929 ± 0.0870
heart_failure,zenith,deo,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,zenith,deo,post,0.7459 ± 0.1690,0.7500 ± 0.2204,0.7355 ± 0.1834,0.6913 ± 0.1325,0.0413 ± 0.0336,0.0804 ± 0.0874
heart_failure,zenith,deo_kl,baseline,0.8163 ± 0.0000,0.6667 ± 0.0000,0.8000 ± 0.0000,0.7273 ± 0.0000,0.0021 ± 0.0000,0.1071 ± 0.0000
heart_failure,zenith,deo_kl,post,0.7898 ± 0.0772,0.6778 ± 0.3041,0.6395 ± 0.2906,0.6491 ± 0.2817,0.0355 ± 0.0270,0.0893 ± 0.0855
