dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,deo,10,post,"[0.12400680780410767, 0.9787594676017761]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,deo,10,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,11,post,"[0.12184211611747742, 0.4618263840675354]",0.8125868572563033,0.2712950600801068,0.9079535299374442,0.41776315789473684,0.06026411130857886,0.006985463402824077
adult,topsis,deo,11,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,12,post,"[0.08511881530284882, 0.6655610203742981]",0.7914102309575806,0.1671562082777036,0.9499241274658573,0.28428701180744775,0.03542671877297979,0.002339895486742405
adult,topsis,deo,12,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,13,post,"[0.12074241042137146, 0.45941951870918274]",0.8123883263847528,0.2702269692923899,0.9084380610412927,0.4165466145297386,0.06007617854870867,0.007850373399011401
adult,topsis,deo,13,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,14,post,"[0.10191252082586288, 0.21921873092651367]",0.8338296605122096,0.4040053404539386,0.8443080357142857,0.5465053277948347,0.10053425678414861,0.029274573003720994
adult,topsis,deo,14,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,15,post,"[0.13090085983276367, 0.3302602469921112]",0.8283369730659784,0.36542056074766355,0.8628625472887768,0.5134121178015382,0.08865535398960407,0.02635967358556951
adult,topsis,deo,15,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,16,post,"[0.12454250454902649, 0.6329352855682373]",0.8020647210641255,0.21815754339118826,0.928409090909091,0.3532972972972973,0.04681275883927921,0.0028795450200077566
adult,topsis,deo,16,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,17,post,"[0.17474672198295593, 0.8865798711776733]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,deo,17,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,18,post,"[0.11366457492113113, 0.577802836894989]",0.8020647210641255,0.21815754339118826,0.928409090909091,0.3532972972972973,0.04681275883927921,0.0028795450200077566
adult,topsis,deo,18,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,19,post,"[0.10621991753578186, 0.3605242073535919]",0.8175832175236583,0.2965287049399199,0.9010141987829614,0.44620793571069817,0.06685483917491496,0.01117877785785154
adult,topsis,deo,19,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,0,post,"[0.06008859723806381, 0.06774114072322845]",0.8476275560849712,0.5724966622162884,0.7534703918467756,0.6506334875957818,0.16087243535728163,0.049069641941969055
adult,topsis,ddp_kl,0,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,1,post,"[0.15300580859184265, 0.7775804400444031]",0.8020647210641255,0.21815754339118826,0.928409090909091,0.3532972972972973,0.04681275883927921,0.0028795450200077566
adult,topsis,ddp_kl,1,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,2,post,"[0.07476741075515747, 0.30201250314712524]",0.8101052213619218,0.25874499332443257,0.912,0.4031201248049922,0.05669133602555777,0.003907933753211579
adult,topsis,ddp_kl,2,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,3,post,"[0.08155765384435654, 0.0919361412525177]",0.8476275560849712,0.5724966622162884,0.7534703918467756,0.6506334875957818,0.16087243535728163,0.049069641941969055
adult,topsis,ddp_kl,3,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,4,post,"[0.10111716389656067, 0.34363800287246704]",0.8175501290450665,0.2963951935914553,0.900974025974026,0.4460518384569018,0.06680585558441776,0.011022087165278693
adult,topsis,ddp_kl,4,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,5,post,"[0.13733787834644318, 0.6922791004180908]",0.8022963404142678,0.2192256341789052,0.928208027133974,0.35468193109407065,0.04725361115375386,0.004133070560590646
adult,topsis,ddp_kl,5,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,6,post,"[0.5520554780960083, 0.018685046583414078]",0.5559526172986566,0.9883845126835781,0.3570119598765432,0.524551831644583,0.22654891125391619,0.011789136187404292
adult,topsis,ddp_kl,6,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,7,post,"[0.09419519454240799, 0.10521529614925385]",0.8473959367348289,0.5739652870493992,0.7515734265734266,0.6508705526116578,0.16168915319149668,0.05079323956027049
adult,topsis,ddp_kl,7,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,8,post,"[0.16357582807540894, 0.2704038918018341]",0.8416716299384555,0.47356475300400536,0.8081567555251766,0.597188315514774,0.12230471314593552,0.03146909120529645
adult,topsis,ddp_kl,8,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,9,post,"[0.15900322794914246, 0.3954572081565857]",0.8293958043809145,0.3703604806408545,0.8630989421281892,0.5183109118086696,0.08980695535518085,0.026861140368839687
adult,topsis,ddp_kl,9,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,10,post,"[0.0839322879910469, 0.09456590563058853]",0.8476275560849712,0.572630173564753,0.7533813455120323,0.6506864901767427,0.160970402538276,0.0492263326345419
adult,topsis,ddp_kl,10,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,11,post,"[0.12951013445854187, 0.6588134169578552]",0.8020647210641255,0.21815754339118826,0.928409090909091,0.3532972972972973,0.04681275883927921,0.0028795450200077566
adult,topsis,ddp_kl,11,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,12,post,"[0.09156548976898193, 0.10257010161876678]",0.847528290649196,0.5734312416555407,0.7524526979677646,0.6508561903318685,0.16140325325063212,0.0501664767899791
adult,topsis,ddp_kl,12,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,13,post,"[0.116048663854599, 0.5885167717933655]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,ddp_kl,13,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,14,post,"[0.11187449097633362, 0.583278238773346]",0.8012375090993316,0.2144192256341789,0.9288606130711394,0.3484108905521206,0.04574712225151897,0.0006106411647379406
adult,topsis,ddp_kl,14,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,15,post,"[0.09263826161623001, 0.14300550520420074]",0.8434584077824102,0.4910547396528705,0.8000870132695236,0.6085877388930255,0.12932331694578247,0.039284958711719664
adult,topsis,ddp_kl,15,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,16,post,"[0.0840078815817833, 0.09465733170509338]",0.8476275560849712,0.572630173564753,0.7533813455120323,0.6506864901767427,0.160970402538276,0.0492263326345419
adult,topsis,ddp_kl,16,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp_kl,17,post,"[0.0921563133597374, 0.10357733070850372]",0.847528290649196,0.5728971962616822,0.7528070175438597,0.6506444275966642,0.16101138452665467,0.0495397140196876
adult,topsis,ddp_kl,17,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
